"country","iso3c","gdp_percap"
"Andorra","AND",
"United Arab Emirates","ARE",73355.8769793479
"Afghanistan","AFG",1934.63675412035
"Antigua and Barbuda","ATG",25145.5412294362
"Albania","ALB",12930.0676756249
"Armenia","ARM",9620.81849100036
"Angola","AGO",6650.58493984778
"Argentina","ARG",20843.1550677175
"American Samoa","ASM",
"Austria","AUT",53879.2978545168
"Australia","AUS",49653.7158885249
"Aruba","ABW",39454.6298308169
"Azerbaijan","AZE",17525.2796310656
"Bosnia and Herzegovina","BIH",13735.0302372246
"Barbados","BRB",18526.008560408
"Bangladesh","BGD",3998.4194235515
"Belgium","BEL",49411.8690997742
"Burkina Faso","BFA",1866.17061993571
"Bulgaria","BGR",20948.0970565215
"Bahrain","BHR",47660.4799076737
"Burundi","BDI",737.97858286726
"Benin","BEN",2276.59572978031
"Bermuda","BMU",
"Brunei Darussalam","BRN",79789.6050852948
"Bolivia","BOL",7480.07714057558
"Brazil","BRA",15662.2470175963
"Bahamas, The","BHS",31581.1043896488
"Bhutan","BTN",10173.0510685791
"Botswana","BWA",17784.8558105295
"Belarus","BLR",18915.9398914361
"Belize","BLZ",8500.44479966081
"Canada","CAN",46723.3177643637
"Congo, Dem. Rep.","COD",888.677279965972
"Central African Republic","CAF",829.346498086113
"Congo, Rep.","COG",5614.39897396621
"Switzerland","CHE",66299.6250110989
"Cote d'Ivoire","CIV",3921.71333635819
"Chile","CHL",24248.8607595513
"Cameroon","CMR",3644.80109612329
"China","CHN",16782.2077583531
"Colombia","COL",14507.2612508546
"Costa Rica","CRI",16976.1874153378
"Cuba","CUB",
"Cabo Verde","CPV",7026.98412242795
"Curacao","CUW",27626.6408891907
"Cyprus","CYP",36155.4807539388
"Czech Republic","CZE",38019.5805142033
"Germany","DEU",52574.2604824888
"Djibouti","DJI",
"Denmark","DNK",54356.4482739471
"Dominica","DMA",10383.9407632773
"Dominican Republic","DOM",16451.5400448466
"Algeria","DZA",15266.4852082981
"Ecuador","ECU",11501.0102924422
"Estonia","EST",33447.8277198239
"Egypt, Arab Rep.","EGY",11742.0500882009
"Eritrea","ERI",
"Spain","ESP",39037.3783388467
"Ethiopia","ETH",1897.24907750157
"Finland","FIN",46343.5772169122
"Fiji","FJI",10318.9586799074
"Micronesia, Fed. Sts.","FSM",3504.39665060566
"Faroe Islands","FRO",
"France","FRA",44255.9416401023
"Gabon","GAB",17762.4086446011
"United Kingdom","GBR",44896.2645843105
"Grenada","GRD",14739.0657546687
"Georgia","GEO",10674.1758026857
"Ghana","GHA",4457.3558457773
"Gibraltar","GIB",
"Greenland","GRL",
"Gambia, The","GMB",1612.1395585064
"Guinea","GIN",2435.21847519162
"Equatorial Guinea","GNQ",24532.9520019804
"Greece","GRC",28579.7945258539
"Guatemala","GTM",8166.85775480185
"Guam","GUM",
"Guinea-Bissau","GNB",1734.71490884792
"Guyana","GUY",8140.41534019477
"Hong Kong SAR, China","HKG",61706.8146996776
"Honduras","HND",4916.72379248824
"Croatia","HRV",26295.5122942987
"Haiti","HTI",1818.60656533786
"Hungary","HUN",28798.6425572425
"Indonesia","IDN",12279.1832757753
"Ireland","IRL",76807.4933739969
"Israel","ISR",38867.7615971076
"Isle of Man","IMN",
"India","IND",7168.992550744
"Iraq","IRQ",17415.4693927853
"Iran, Islamic Rep.","IRN",21011.288308854
"Iceland","ISL",55322.0901345058
"Italy","ITA",40981.2816111757
"Channel Islands","CHI",
"Jamaica","JAM",8970.78029113866
"Jordan","JOR",9129.93211751891
"Japan","JPN",41958.9621557727
"Kenya","KEN",3258.15449926677
"Kyrgyz Republic","KGZ",3733.60613756865
"Cambodia","KHM",4019.67998511045
"Kiribati","KIR",2227.92099492537
"Comoros","COM",2751.08790965604
"St. Kitts and Nevis","KNA",30452.1013201016
"Korea, Dem. Peopleâ€™s Rep.","PRK",
"Korea, Rep.","KOR",38824.1153902612
"Kuwait","KWT",72621.6260603286
"Cayman Islands","CYM",72607.571471824
"Kazakhstan","KAZ",26490.84377438
"Lao PDR","LAO",6939.55506871462
"Lebanon","LBN",12813.8695525994
"St. Lucia","LCA",13569.3057084931
"Liechtenstein","LIE",
"Sri Lanka","LKA",12878.5886712171
"Liberia","LBR",1293.41593414343
"Lesotho","LSO",3131.00373026564
"Lithuania","LTU",33252.6768339907
"Luxembourg","LUX",107640.559218408
"Latvia","LVA",28362.012043723
"Libya","LBY",19056.8042971544
"Morocco","MAR",8261.06085184946
"Monaco","MCO",
"Moldova","MDA",6858.89202760189
"Montenegro","MNE",19354.9298194866
"St. Martin (French part)","MAF",
"Madagascar","MDG",1560.40231488331
"Marshall Islands","MHL",3886.21820043975
"Mali","MLI",2221.75788575194
"Myanmar","MMR",6172.39264948407
"Mongolia","MNG",12787.2842560818
"Macao SAR, China","MAC",116013.006979297
"Northern Mariana Islands","MNP",
"Mauritania","MRT",4066.67063842473
"Malta","MLT",41548.5120108714
"Mauritius","MUS",22355.1905239487
"Maldives","MDV",14668.6930327615
"Malawi","MWI",1269.64459550158
"Mexico","MEX",19432.2141906251
"Malaysia","MYS",30004.078626204
"Mozambique","MOZ",1294.74827318321
"Namibia","NAM",11104.4193762719
"New Caledonia","NCL",
"Niger","NER",1012.85919631307
"Nigeria","NGA",5887.5730776004
"Nicaragua","NIC",5687.18163082839
"Netherlands","NLD",54422.0080155625
"Norway","NOR",62182.8421398992
"Nepal","NPL",2866.54201625742
"Nauru","NRU",15039.3175663984
"New Zealand","NZL",40438.5709468742
"Oman","OMN",41068.3368142761
"Panama","PAN",24472.0098497445
"Peru","PER",13772.2901725032
"French Polynesia","PYF",
"Papua New Guinea","PNG",4269.43124398009
"Philippines","PHL",8340.33133072608
"Pakistan","PAK",5249.2063652526
"Poland","POL",29930.9917768016
"Puerto Rico","PRI",39006.3905970833
"West Bank and Gaza","PSE",5117.75456253195
"Portugal","PRT",32554.2975164832
"Palau","PLW",18124.6534724604
"Paraguay","PRY",12971.6838450747
"Qatar","QAT",124609.304140088
"Romania","ROU",26595.4264276466
"Serbia","SRB",16433.3824593609
"Russian Federation","RUS",25766.9288144165
"Rwanda","RWA",2082.2936354878
"Saudi Arabia","SAU",53693.3642364901
"Solomon Islands","SLB",2339.38066750728
"Seychelles","SYC",29062.2628539554
"Sudan","SDN",4880.26151674132
"Sweden","SWE",51404.7853914838
"Singapore","SGP",96552.6026075455
"Slovenia","SVN",36153.3831240136
"Slovak Republic","SVK",32371.2229547652
"Sierra Leone","SLE",1544.42928960789
"San Marino","SMR",63037.1257780432
"Senegal","SEN",3556.13775834737
"Somalia","SOM",
"Suriname","SUR",15002.4198616731
"South Sudan","SSD",
"Sao Tome and Principe","STP",3312.72796857403
"El Salvador","SLV",7972.76858986504
"Sint Maarten (Dutch part)","SXM",
"Syrian Arab Republic","SYR",
"Eswatini","SWZ",10526.1100493887
"Turks and Caicos Islands","TCA",23873.4206133785
"Chad","TCD",1929.47275158835
"Togo","TGO",1682.74920216705
"Thailand","THA",17917.2068895954
"Tajikistan","TJK",3216.58070235526
"Timor-Leste","TLS",7416.22335499345
"Turkmenistan","TKM",18032.2219588979
"Tunisia","TUN",12047.0511340458
"Tonga","TON",6321.60693306938
"Turkey","TUR",27878.6092367084
"Trinidad and Tobago","TTO",31428.7976775167
"Tuvalu","TUV",3903.65500466453
"Tanzania","TZA",3090.49437114677
"Ukraine","UKR",8693.69364884734
"Uganda","UGA",1945.35860419614
"United States","USA",59927.9298339535
"Uruguay","URY",22728.1347506876
"Uzbekistan","UZB",6644.5688858411
"St. Vincent and the Grenadines","VCT",11776.6715734858
"Venezuela, RB","VEN",
"British Virgin Islands","VGB",
"Virgin Islands (U.S.)","VIR",
"Vietnam","VNM",6857.98404387187
"Vanuatu","VUT",3110.31028343763
"Samoa","WSM",6677.68551022861
"Kosovo","XKX",10759.6489225281
"Yemen, Rep.","YEM",2645.30838302614
"South Africa","ZAF",13458.9637418502
"Zambia","ZMB",4090.12004042731
"Zimbabwe","ZWE",2825.72512228756
